source,target,edge
2022  supporters,direct nomination parliament,size
next nomination Police,demonstrators,size
2022  supporters,sitting county assembly,size
four camel others,LMD Livestock Marketing Leparua,shot
alleged fishing Running,injuries,size
ODM clerk,scene,size
mysteriously  demonstrators,primary school justice,dozens
one police officer,process,size
Nandi Kamulat suspect,police,size
separately county protesters,slain  politician,hundreds
Two campaign people,incident,injured during
he,arrest,size
fresh  cost,living,size
Machakos Kalunga suspect,police,size
One  gun,bloodstained  suspects,recovered from
Nairobi police Police,twenty  motorcycles,size
presidential Raila women,campaigns,hundreds
Mombasa United Democratic motive,attack,is unknown
presidential Raila protestors,deputy party leader,size
suspect,27,report
protesting Trans workers,health department,size
Migori Suna aspirant,scene,size
assailants,man,is unknown
nomination exercise,electoral  malpractices,size
Kisii Bomachoge motive,killing,is unknown
another,Matabithi police Lanyiru,died
Several Embakasi people,artist,injured
matatu rest,gang members,size
presidential Elgeyo rally,presidential  Iten,size
Migori Suna some,away  podium,size
30  This,ethnic  militias,following
ODM Orange Democratic aspirants,ahead  exercise,size
Democratic Movement Nakuru that,very  day,size
17  people,300,size
two police who,changaa money,size
police county revenue group,assistant county commissioner,size
transport examination group,Human Rights,size
Meru  militia,30  March,believed
2021 Primary parents,laxity,size
direct Janet protestors,Donya Toto,size
Muchongoi event,Mochongoi,shot
them,him,size
ethnic  militia,allegedly Tigania east,West
Laikipia Laikipia Casualties,Ol moran town,unknown
2021 Primary parents,immediate school head,size
gubernatorial Uasin blogger,30  March,released on
communal  militia,unknown Tigania animals,were
Nairobi parliament demonstration,continuous employment employers,size
donkey theft,locals,size
2022  supporters,candidate Raila Lari,size
rest,cooking gas cylinders,size
allegedly Uasin man,police,size
campaign windscreen,campaign cars,size
2022 boda taxi operators,Turkana fuel prices,size
redundancy Police,group,size
2022  police,suspected El Wak,defused
2022  journalists,alleged Turkana office,size
Narok Narok motive,allegedly  ranch,linked to
Narok Narok victim,police,size
2022  group,Nairobi Uhai abortion,size
rising  operators,life,size
suspected Pokot militiamen,sustained gunshot incident,NPR
Ward MCA aspirant,car,size
increasing insecurity Police,tear gas students,size
government,month,size
2022  residents,old police Kawangware,size
two  others,Kom Durte,shot
government,armed Losesia Kom route,size
unspecified Power company staff,Baraka Nanyuki,size
Kenyan Mama Ngina who,Kenyan Mama Ngina man,size
party,later  apology,issued
Garissa Garissa This,suspected clan militias,following
Nairobi  mob,unknown  value,size
Gem Rai company,court activity,size
suspect,200 mama mboga,report
unknown  number,Nairobi Nubians Right Kenya,size
they,Embakasi divison,size
four  others,ethnic  group,killed
2022  mob,three Webuye sheep,size
rights,new  policy,size
local  residents,equal multipurpose dam project,size
local  residents,old Hamisi wife,size
clinical  interns,unpaid Uhuru stipends,size
Unknown  number,militants,recovered from
speeding cargo he,away  mob,size
unknown  amount,property,stolen
Mandera Mandera Casualties,Kenya security Rhamu,unknown
increased livestock incident,many  motorists,size
suspected Pokot militia,two Elgeyo men,attacked
who,money dispute,size
also  number,incident,sustained
criminal Garissa gangs,cartels Garissa militia,size
2022  section,14.2 km road,size
Isiolo Ngeramara militia,500  goats,raped
Kisii Kitutu Chache aspirant,vehicles,size
100  families,lost Mai land,size
Hundreds,suspected Pokot militia,displaced into
elderly  who,extra  fare,size
unidentified clan militia,allegedly land dispute,information
7  people,allegedly phone theft,size=7
local  residents,allegedly chicken theft,size
local  residents,mobile Dandora Area pedestrian,size
other  four,serious burn injuries,size
Kiambu Deputy security,group,size
security,protestors,size
400 scrap metal dealers,peaceful scrap 400,size
Turkana Lodwar Kitale driver,Spanish bullet wounds,sustained
private  security,Nairobi Azimio event,size
ago  hospital,service delivery,size
local  residents,allegedly chicken theft,size
local  residents,allegedly livestock theft,size
2022 Al Shabaab militants,KDF Hulugho town,were
separately mob Police,one  him,size
other Dagoretti 3,robbing Dagoretti pedestrians,size
Police,incident,size
sting exam residents,local  chief,size
one police militia,four  rifles,made
held President Uhuru protestors,political community interests,tens
2017 bargaining workers,university management,size
KDF Al Shabaab,11  soldiers,claimed
other Kitale Endebess suspects,motorbike,size
held President Uhuru protestors,political community interests,size
held President Uhuru protestors,political community interests,size
recently President Uhuru protestors,political community interests,size
Three Banisa Takaba workers,incident,injured during
"1,000  residents",suspected Pokot militia,displaced into
Khorof Harar Casualties,Khorof Harar town,unknown
allegedly police Police,man,size
alleged Athi victim,hospital,size
this,vigilante justice,is unclear
casual Al Shabaab,4  people,claimed
allegedly Central Police,one  calm,size
militants,slain body officer,took
Roysambu Thika operators,nationwide police crackdown,size
alleged Nakuru that,fresh unemployment graduates,size
nationwide  Police,tear  them,size
They,station,are
UDA Tana Dozens,incident,injured during
several  others,three AK47 scene,rifle
Baringo North,3  families,were
18  operators,128  incident,size
where Taita Taveta they,petition,size
person,three Chesoi Sambalat vehicle,size
Elgeyo militia,unknown  livestock,injured
later children protection women,later children protection unit,targeted
government,instead  river,size
where woman motorist,boda taxi operators,size
two Mombasa Calm,however  injuries,size
local  residents,old witchcraft claims,size
three  others,serious  burns,details
party injuries,party official,size
Kapkosum Casualties,Kapkosum Mochongoi,unknown
clinical  interns,7 months stipend,size
Eight Marsabit people,one bullet wounds,sustained
4  others,incident,killed
local  residents,shallow pit latrine,size
direct governor Wycliffe Calm,however  injuries,size
local  pastoralists,increased Baringo area,size
around Sh50 motive,attack,remains unknown
two  others,gunshot incident,killed
ethnic  militia,unknown  Kasiela,information
2022  members,allegedly Nairobi her,size
rich Kaberia demonstrators,road Kaberia bonfires,size
Baringo Duka Moja motive,attack,is unknown
